"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"154","org.apache.tools.ant.filters.FixCrLfFilter$AddEofFilter","0","0","2","0","0","0","0","0","0","0","2","0","31","0","0","0","0","0","0","0.25"
"155","org.apache.tools.ant.taskdefs.Get$DownloadProgress","0","0","3","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0"
"156","org.apache.tools.ant.taskdefs.Concat$MultiReader","0","0","10","0","0","0","-8","1","1","-1","3","0.0704365079365079","336","0","2","-0.0326797385620915","-0.0198412698412698","0","0","-2.83625730994152"
"157","org.apache.tools.ant.taskdefs.UpToDate","0","0","14","0","0","0","0","0","0","0","11","0","374","0","2","0","0","0","0","-0.178571428571431"
"158","org.apache.tools.ant.taskdefs.Zip$ArchiveState","0","0","4","0","0","0","0","0","0","0","3","0","50","0","1","0","0","0","0","0.25"
"159","org.apache.tools.ant.types.Environment$Variable","0","0","9","0","0","0","0","0","0","0","9","0","70","0","0","0","0","0","0","0.111111111111112"
"160","org.apache.tools.ant.taskdefs.XmlProperty","0","0","37","0","0","0","2","65","0","0","17","0.00251547987616096","1046","0.00263157894736843","3","-0.0146825396825397","-0.0010893246187364","0","0","-0.359523809523811"
"161","org.apache.tools.ant.taskdefs.VerifyJar$BufferingOutputFilter","0","0","5","0","0","0","0","0","0","0","3","0","32","0","1","0","0","0","0","0.0999999999999996"
"162","org.apache.tools.ant.types.FilterSet","0","0","27","0","0","0","1","0","0","0","19","0","822","0","1","0","0","0","0","0.314814814814817"
"163","org.apache.tools.ant.dispatch.Dispatchable","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"164","org.apache.tools.ant.filters.TokenFilter$StringTokenizer","0","0","1","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0"
"165","org.apache.tools.ant.taskdefs.condition.IsReachable","0","0","8","0","0","0","0","0","0","0","5","0","291","0","0","0","0","0","0","1"
"166","org.apache.tools.ant.types.selectors.SelectorScanner","0","0","3","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0"
"167","org.apache.tools.ant.taskdefs.CallTarget","0","0","15","0","0","0","0","0","0","0","15","0","204","0","1","0","0","0","0","0.133333333333333"
"168","org.apache.tools.ant.helper.ProjectHelperImpl","0","0","15","0","0","0","0","0","0","0","2","0","318","0","3","0","0","0","0","0.233333333333331"
"169","org.apache.tools.ant.taskdefs.Concat","0","0","41","0","0","2","-7","378","3","1","23","0.0345436507936508","751","0","8","-0.0912828947368421","-0.0233333333333333","0","0","-7.15418719211823"
"170","org.apache.tools.ant.util.DOMElementWriter$XmlNamespacePolicy","0","0","4","0","0","0","0","0","0","0","1","0","43","0","3","0","0","0","0","0.625"
